Subject1

  TIME    TORQUE   POSITION    POS (ANAT)    VELOCITY
  mSec       N-M    Degrees      Degrees       DEG/SEC
     0       0.0      250.1           88          0.0
    10      16.7      250.1           88          2.1
    20      35.4      250.1           88          7.4
    30      42.6      249.9           87         20.7
    40      43.1      249.5           87         40.1
    50      44.7      249.0           87         59.6
    60      46.4      248.2           86         79.8
    70      48.5      247.3           85        101.6
    80      49.6      246.1           84        124.3
    90      51.0      244.7           82        147.7
   100      53.2      243.0           81        170.3
   110      63.3      241.3           79        173.8
   120      77.2      239.5           77        174.9
   130      90.4      237.8           75        175.9
   140     102.0      236.0           74        177.3
   150     108.6      234.2           72        178.3
   160     109.2      232.4           70        178.9
   170     106.4      230.7           68        179.1
   180     104.7      228.9           66        179.1
   190     105.4      227.1           65        179.7
   200     109.6      225.3           63        179.1
   210     111.6      223.5           61        179.7
   220     111.9      221.7           59        179.9
   230     110.8      219.9           57        179.9
   240     109.3      218.1           56        179.9
   250     107.9      216.3           54        179.7
   260     105.4      214.5           52        179.7
   270     103.2      212.7           50        179.4
   280     100.6      210.9           48        179.4
   290      98.2      209.1           47        179.7
   300      98.9      207.3           45        179.1
   310      97.5      205.5           43        179.1
   320      93.3      203.7           41        179.4
   330      87.9      201.9           39        179.1
   340      81.2      200.1           38        179.1
   350      76.6      198.3           36        179.1
   360      74.4      196.6           34        179.1
   370      73.8      194.8           32        179.1
   380      72.4      193.0           31        179.7
   390      68.7      191.2           29        179.4
   400      66.4      189.4           27        178.9
   410      64.0      187.6           25        179.4
   420      59.7      185.8           23        179.1
   430      56.4      184.0           22        178.9
   440      51.7      182.2           20        179.4
   450      48.3      180.4           18        179.1
   460      45.0      178.6           16        178.6
   470      40.3      176.8           14        179.1
   480      35.8      175.0           13        179.1
   490      29.8      173.3           11        178.9
   500      29.2      171.6            9        165.8
   510      42.4      170.3            8        109.9
   520      52.3      169.3            7         93.9
   530      42.7      168.5            6         77.7
   540      25.8      168.0            6         53.5
   550       6.5      167.5            5         39.6
   560      -2.3      167.2            5         29.5
   570      -8.1      167.0            5         19.4
   580     -43.0      166.8            4         10.6
   590     -44.6      166.9            4         -9.3
   600     -63.2      167.2            5        -36.7
   610     -63.9      167.7            5        -72.9
   620     -50.6      168.7            6       -111.8
   630     -42.0      169.9            7       -143.4
   640     -43.9      171.4            9       -170.3
   650     -50.9      173.1           11       -191.9
   660     -70.6      174.9           12       -175.1
   670     -86.8      176.6           14       -176.7
   680    -102.2      178.4           16       -178.1
   690    -110.0      180.2           18       -178.9
   700    -110.1      182.0           20       -179.7
   710    -104.0      183.8           21       -179.7
   720     -98.2      185.6           23       -179.4
   730     -97.9      187.4           25       -179.1
   740    -100.2      189.2           27       -179.1
   750    -103.3      191.0           29       -179.9
   760    -105.9      192.8           30       -180.2
   770    -106.6      194.6           32       -180.4
   780    -107.5      196.4           34       -179.7
   790    -109.2      198.2           36       -179.9
   800    -111.3      200.0           38       -179.9
   810    -112.5      201.8           39       -180.2
   820    -112.7      203.6           41       -180.2
   830    -110.9      205.4           43       -179.9
